DRUG_NAME,POTENCY,NET_WEIGHT,DATE_COLLECTED,PURCHASE_PRICE
HEROIN HYDROCHLORIDE,0,1.114,4/1/1991,0
HEROIN HYDROCHLORIDE,0,0.69,5/1/1991,200
HEROIN HYDROCHLORIDE,0,0.71,5/1/1991,200
HEROIN HYDROCHLORIDE,0,0.5,5/1/1991,150
HEROIN HYDROCHLORIDE,0,0.6,5/1/1991,100
HEROIN HYDROCHLORIDE,0,1.3,5/1/1991,120
HEROIN HYDROCHLORIDE,0,0.67,5/1/1991,120
HEROIN HYDROCHLORIDE,0,1.59,5/1/1991,120
HEROIN HYDROCHLORIDE,0,0.97,5/1/1991,120
HEROIN HYDROCHLORIDE,0,0.57,5/1/1991,200
HEROIN HYDROCHLORIDE,0,1.1,5/1/1991,
HEROIN HYDROCHLORIDE,0,0.95,5/1/1991,100
HEROIN HYDROCHLORIDE,0,0.75,5/1/1991,180
HEROIN HYDROCHLORIDE,0,1.117,8/1/1991,
HEROIN HYDROCHLORIDE,0,1.007,8/1/1991,
HEROIN HYDROCHLORIDE,0,1.027,8/1/1991,0
HEROIN,0,0.904,10/1/1991,
HEROIN HYDROCHLORIDE,0,0.958,10/1/1991,
HEROIN HYDROCHLORIDE,0,1.067,11/1/1991,
HEROIN HYDROCHLORIDE,0,0.985,1/1/1992,
HEROIN HYDROCHLORIDE,0,1.071,2/1/1992,0
HEROIN HYDROCHLORIDE,0,0.836,2/1/1992,0
HEROIN HYDROCHLORIDE,0,1.86,3/1/1992,0
HEROIN HYDROCHLORIDE,0,0.822,3/1/1992,
HEROIN HYDROCHLORIDE,0,1.007,3/1/1992,
HEROIN CITRATE,0,1.043,3/1/1992,
HEROIN,0,0.999,4/1/1992,
HEROIN HYDROCHLORIDE,0,0.784,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.007,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.001,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.053,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.199,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.003,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.016,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.028,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.02,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.001,4/1/1992,
HEROIN HYDROCHLORIDE,0,1.002,4/1/1992,
HEROIN HYDROCHLORIDE,0,0.994,5/1/1992,
HEROIN HYDROCHLORIDE,0,1,5/1/1992,
HEROIN HYDROCHLORIDE,0,0.992,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.04,5/1/1992,
HEROIN HYDROCHLORIDE,0,1,5/1/1992,
HEROIN CITRATE,0,0.996,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.005,5/1/1992,
HEROIN,0,1.016,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.033,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.282,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.007,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.043,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.002,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.434,5/1/1992,
HEROIN HYDROCHLORIDE,0,1,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.213,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.205,5/1/1992,
HEROIN HYDROCHLORIDE,0,0.939,5/1/1992,
HEROIN HYDROCHLORIDE,0,0.924,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.064,5/1/1992,
HEROIN HYDROCHLORIDE,0,1.143,6/1/1992,
HEROIN HYDROCHLORIDE,0,2.162,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.24,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.98,6/1/1992,
6-MONOACETYLMORPHINE,0,1.925,6/1/1992,0
HEROIN HYDROCHLORIDE,0,0.949,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.496,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.958,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.707,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.063,6/1/1992,
HEROIN,0,0.998,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.017,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.985,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.033,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.07,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.995,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.012,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.982,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.965,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.989,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.163,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.336,6/1/1992,
HEROIN HYDROCHLORIDE,0,1,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.033,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.952,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.001,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.103,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.99,6/1/1992,
HEROIN HYDROCHLORIDE,0,0.991,6/1/1992,0
HEROIN HYDROCHLORIDE,0,1,6/1/1992,
HEROIN HYDROCHLORIDE,0,3.099,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.084,6/1/1992,
HEROIN HYDROCHLORIDE,0,1,6/1/1992,
HEROIN HYDROCHLORIDE,0,1.011,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.065,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.531,7/1/1992,0
HEROIN HYDROCHLORIDE,0,2.55,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.552,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.3,7/1/1992,0
HEROIN HYDROCHLORIDE,0,1.296,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.724,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.5,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.007,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.154,7/1/1992,
HEROIN HYDROCHLORIDE,0,1,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.184,7/1/1992,
HEROIN HYDROCHLORIDE,0,1,7/1/1992,
HEROIN HYDROCHLORIDE,0,5.4,7/1/1992,
HEROIN,0,1.994,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.997,7/1/1992,0
HEROIN HYDROCHLORIDE,0,1.018,7/1/1992,0
HEROIN CITRATE,0,1.023,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.993,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.001,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.845,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.099,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.024,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.049,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.076,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.058,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.023,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.116,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.67,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.275,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.008,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.021,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.012,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.034,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.022,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.082,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.02,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.05,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.003,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.996,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.091,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.019,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.996,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.063,7/1/1992,
HEROIN HYDROCHLORIDE,0,2.079,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.011,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.998,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.023,7/1/1992,
NO ANALYSIS,0,1.028,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.074,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.142,7/1/1992,
HEROIN HYDROCHLORIDE,0,2.516,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.039,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.976,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.274,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.956,7/1/1992,
HEROIN HYDROCHLORIDE,0,1.426,7/1/1992,
HEROIN HYDROCHLORIDE,0,0.938,8/1/1992,
HEROIN HYDROCHLORIDE,0,0.076,8/1/1992,60
HEROIN HYDROCHLORIDE,0,0.814,8/1/1992,260
HEROIN HYDROCHLORIDE,0,1,8/1/1992,0
HEROIN HYDROCHLORIDE,0,1,8/1/1992,0
HEROIN HYDROCHLORIDE,0,1.023,8/1/1992,0
HEROIN HYDROCHLORIDE,0,1.074,8/1/1992,
HEROIN HYDROCHLORIDE,0,1,8/1/1992,
HEROIN HYDROCHLORIDE,0,1,8/1/1992,
HEROIN HYDROCHLORIDE,0,1.03,8/1/1992,
HEROIN HYDROCHLORIDE,0,1.038,8/1/1992,
HEROIN HYDROCHLORIDE,0,1.018,8/1/1992,
HEROIN HYDROCHLORIDE,0,1,8/1/1992,
HEROIN HYDROCHLORIDE,0,0.992,8/1/1992,
HEROIN HYDROCHLORIDE,0,0.998,8/1/1992,
