,ID,NUM_SALES,ENTERED,EXITED
0,1,5631,16171,16676
1,2,47,16213,16395
2,3,232,16134,16677
3,4,1164,16129,16517
4,5,155,16466,16674
5,6,1227,16178,16502
6,7,2181,16395,16676
7,8,103,16293,16655
8,9,999,16274,16656
9,10,2614,16091,16637
10,11,2,16161,16206
11,12,732,16141,16666
12,13,4976,16124,16673
13,14,684,16566,16651
14,15,1802,16421,16674
15,16,138,16213,16611
16,17,119,16629,16669
17,18,11,16497,16583
18,19,928,16226,16669
19,20,887,16277,16669
20,21,46,16180,16597
21,22,5680,16076,16497
22,23,20,16171,16220
23,24,3546,16172,16671
24,25,1406,16333,16674
25,26,1035,16094,16665
26,28,133,16151,16269
27,29,721,16325,16665
28,30,8,16612,16671
29,31,704,16290,16651
30,32,69,16214,16369
31,33,439,16397,16655
32,34,1215,16220,16664
33,35,1226,16129,16668
34,36,24,16517,16668
35,37,103,16129,16221
36,38,327,16212,16451
37,39,6696,16129,16676
38,40,704,16130,16656
39,41,472,16122,16672
40,42,8231,16282,16672
41,43,167,16491,16659
42,44,4911,16129,16677
43,45,2440,16274,16679
44,46,1147,16283,16667
45,47,5400,16171,16677
46,48,117,16171,16666
47,49,8,16200,16402
48,50,625,16206,16676
49,51,1402,16248,16641
50,52,20,16575,16675
51,53,123,16234,16537
52,54,1195,16324,16662
53,55,58,16242,16410
54,56,510,16314,16588
55,57,327,16201,16382
56,58,2589,16131,16538
57,59,575,16446,16555
58,60,3730,16301,16539
59,61,2986,16134,16679
60,62,1283,16368,16629
61,63,175,16129,16629
62,64,364,16277,16673
63,65,294,16448,16651
64,66,1178,16274,16645
65,67,1076,16211,16640
66,68,3503,16096,16492
67,69,190,16340,16392
68,70,1042,16201,16513
69,71,1164,16226,16673
70,72,240,16135,16457
71,73,790,16165,16637
72,74,1281,16134,16679
73,75,2835,16171,16679
74,76,999,16129,16491
75,77,862,16274,16664
76,78,5582,16129,16669
77,79,92,16408,16603
78,80,107,16496,16599
79,81,504,16463,16679
80,82,2133,16391,16665
81,83,404,16506,16597
82,84,964,16129,16588
83,85,342,16537,16674
84,86,2728,16081,16660
85,88,10,16660,16674
86,89,4498,16130,16623
87,90,1147,16227,16669
88,91,1145,16334,16588
89,92,38,16461,16552
90,93,94,16522,16671
91,94,287,16374,16676
92,95,850,16159,16526
93,96,120,16130,16221
94,97,1792,16214,16676
95,98,135,16213,16503
96,99,12,16545,16576
97,100,1178,16179,16673
98,101,259,16130,16673
99,102,2851,16077,16492
100,103,2870,16480,16679
101,104,570,16362,16617
102,105,795,16385,16673
103,106,153,16526,16673
104,107,1,16493,16493
105,108,743,16408,16649
106,109,576,16407,16674
107,110,162,16514,16676
108,111,1418,16229,16617
109,112,142,16476,16675
110,113,2561,16448,16645
111,114,1458,16171,16500
112,115,2456,16448,16674
113,116,462,16124,16334
114,117,5259,16171,16681
115,118,599,16118,16675
116,119,89,16182,16529
117,120,2197,16277,16678
118,121,171,16274,16653
119,122,1075,16401,16674
120,123,214,16382,16517
121,124,300,16469,16658
122,125,671,16464,16674
123,126,9336,16085,16679
124,127,31,16630,16664
125,128,461,16314,16493
126,129,2352,16186,16679
127,130,1683,16219,16664
128,131,90,16277,16564
129,132,1203,16141,16667
130,133,6495,16189,16674
131,134,145,16503,16673
132,135,1158,16298,16674
133,136,11048,16141,16680
134,137,100,16124,16599
135,138,628,16385,16674
136,139,805,16211,16674
137,140,1868,16323,16679
138,141,1372,16277,16527
139,142,2690,16129,16676
140,143,298,16314,16673
141,144,120,16494,16663
142,145,8,16651,16675
143,146,433,16211,16671
144,147,2221,16189,16672
145,148,147,16340,16400
146,149,2211,16134,16674
147,150,1047,16189,16673
148,151,26,16424,16637
149,152,99,16443,16665
150,153,151,16160,16539
151,154,4140,16134,16674
152,155,1462,16190,16665
153,156,1919,16237,16670
154,157,483,16253,16482
155,158,40,16401,16663
156,159,27,16134,16217
157,160,339,16274,16549
158,161,1402,16171,16681
159,162,26,16211,16222
160,163,7,16212,16500
161,164,101,16652,16679
162,165,4298,16171,16508
163,166,3332,16350,16682
164,167,20,16479,16546
165,168,7305,16122,16681
166,169,580,16200,16481
167,170,1487,16302,16672
168,171,212,16191,16277
169,172,3383,16274,16638
170,173,312,16455,16489
171,174,682,16135,16641
172,175,987,16129,16468
173,176,160,16481,16667
174,177,347,16188,16667
175,178,90,16501,16669
176,179,1024,16354,16682
177,180,28,16520,16554
178,181,4433,16314,16674
179,182,58,16080,16647
180,183,221,16277,16514
181,184,1214,16101,16370
182,185,174,16222,16632
183,186,892,16171,16668
184,187,33,16600,16672
185,188,1498,16190,16679
186,189,643,16537,16673
187,190,1698,16171,16659
188,191,133,16249,16662
189,192,382,16283,16655
190,193,329,16129,16612
191,194,870,16171,16674
192,195,723,16129,16652
193,196,1199,16385,16672
194,197,3296,16091,16678
195,198,2073,16237,16669
196,199,819,16171,16670
197,200,8,16654,16659
198,201,734,16472,16633
199,202,971,16136,16650
200,203,819,16129,16658
201,204,463,16076,16665
202,205,113,16302,16553
203,206,132,16211,16424
204,207,411,16598,16639
205,208,954,16350,16606
206,209,911,16389,16669
207,210,4,16627,16666
208,211,299,16520,16647
209,212,1769,16219,16672
210,213,1584,16091,16672
211,214,62,16135,16444
212,215,78,16464,16666
213,216,1469,16300,16593
214,217,9632,16125,16674
215,218,245,16277,16467
216,219,2184,16285,16676
217,220,647,16345,16672
218,221,1164,16544,16676
219,222,2170,16078,16679
220,223,308,16303,16669
221,224,373,16632,16674
222,225,239,16085,16415
223,226,6,16131,16209
224,227,1505,16190,16667
225,228,329,16096,16629
226,229,1789,16377,16671
227,230,197,16129,16414
228,231,1406,16184,16652
229,232,797,16169,16672
230,233,783,16567,16674
231,234,4040,16274,16672
232,235,5161,16274,16674
233,236,1711,16205,16668
234,237,200,16495,16644
235,238,1516,16342,16641
236,239,3291,16091,16680
237,240,60,16314,16571
238,241,345,16457,16672
239,242,1831,16592,16675
240,243,1004,16229,16662
241,244,177,16448,16613
242,245,452,16085,16617
243,246,20491,16288,16679
244,247,1841,16176,16669
245,248,719,16076,16444
246,249,871,16349,16567
247,250,649,16314,16677
248,251,483,16397,16667
249,252,2073,16392,16676
250,253,6679,16124,16600
251,254,357,16175,16517
252,255,2582,16134,16679
253,256,708,16262,16674
254,257,6013,16192,16631
255,258,168,16417,16673
256,259,425,16101,16463
257,260,5926,16274,16674
258,261,204,16183,16669
259,263,2587,16118,16681
260,264,894,16182,16653
261,265,4686,16174,16677
262,266,364,16171,16410
263,267,16,16160,16194
264,268,444,16303,16666
265,269,1073,16129,16670
266,270,806,16129,16341
267,271,298,16301,16398
268,272,384,16151,16671
269,273,1220,16195,16671
270,274,4056,16377,16674
271,275,619,16129,16214
272,276,986,16225,16475
273,277,5687,16091,16676
274,278,2091,16129,16667
275,279,95,16447,16606
276,280,3475,16452,16656
277,281,954,16442,16659
278,282,578,16129,16673
279,283,258,16486,16673
280,284,11540,16340,16627
281,285,124,16093,16678
282,286,1243,16416,16673
283,287,746,16211,16636
284,288,195,16130,16347
285,289,691,16454,16670
286,290,1068,16091,16554
287,291,451,16129,16453
288,292,7,16301,16334
289,293,2224,16134,16657
290,294,282,16220,16650
291,295,1699,16076,16672
292,296,10772,16091,16683
293,297,1251,16476,16681
294,298,1914,16085,16670
295,299,2265,16176,16674
296,300,3202,16277,16671
297,301,103,16567,16608
298,302,615,16218,16674
299,303,271,16314,16677
300,304,735,16205,16513
301,305,2148,16129,16511
302,306,316,16504,16623
303,307,4277,16354,16559
304,308,176,16132,16663
305,309,1894,16354,16560
306,310,345,16274,16481
307,311,202,16458,16651
308,312,972,16462,16672
309,313,622,16129,16276
310,314,315,16225,16622
311,315,194,16590,16674
312,316,5316,16301,16679
313,317,2349,16333,16652
314,318,5012,16171,16680
315,319,4722,16315,16674
316,320,33,16212,16355
317,321,196,16274,16386
318,322,268,16514,16663
319,323,3672,16082,16671
320,324,368,16282,16618
321,325,387,16347,16517
322,326,97,16338,16507
323,328,5902,16118,16670
324,329,2313,16211,16673
325,330,888,16211,16621
326,331,4778,16389,16675
327,332,2715,16277,16670
328,333,2076,16191,16675
329,334,834,16537,16671
330,335,1444,16191,16673
331,336,41,16455,16586
332,337,160,16388,16672
333,338,317,16179,16559
334,339,1567,16419,16606
335,340,3219,16333,16678
336,341,2842,16301,16673
337,342,2058,16129,16682
338,343,553,16532,16676
339,344,142,16129,16639
340,345,602,16387,16660
341,346,531,16405,16607
